Activity,avg_weekly,avg_weekend,percent_weekly,percent_weekend,pro_weekly,pro_weekend
Sleeping,9.31,10.21,100,100,9.32,10.21
Eating and drinking,1.12,1.29,94.8,94.4,1.18,1.37
Household activities,1.69,2.14,76.9,78.4,2.2,2.73
Purchasing goods and services,0.71,0.87,43.7,46.6,1.63,1.87
Caring for and helping household members,0.54,0.47,26.4,22.5,2.07,2.08
Caring for and helping nonhousehold members,0.21,0.21,12.4,12.3,1.73,1.66
Working and work-related activities,4.6,1.26,54.5,22.3,8.44,5.62
Educational activities,0.6,0.23,9.3,5.9,6.47,3.87
"Organizational, civic, and religious activities",0.24,0.52,12.1,19.5,1.98,2.68
Leisure and sports,4.58,6.43,95.1,97.5,4.82,6.59
"Telephone calls, mail, and e-mail",0.17,0.14,22.4,17.3,0.75,0.79
"Other activities, not elsewhere classified",0.22,0.24,16.1,16.6,1.35,1.45
